ID,center_x,center_y,jinkou
569,1381.5,1275.5,2443
570,1381.0,1275.0,2070
571,1381.5,1275.0,2116
572,1382.0,1275.5,1637
573,1382.5,1275.5,446
574,1382.0,1275.0,1364
575,1382.5,1275.0,397
576,1383.0,1275.5,153
577,1383.0,1275.0,11
578,1383.5,1275.0,65
579,1384.5,1275.5,196
580,1384.0,1275.0,878
581,1384.5,1275.0,1497
582,1385.0,1275.5,467
583,1385.5,1275.5,5
584,1385.0,1275.0,296
585,1385.5,1275.0,136
586,1386.0,1275.5,73
587,1386.5,1275.5,54
588,1386.0,1275.0,459
589,1386.5,1275.0,460
590,1387.0,1275.5,251
591,1387.5,1275.5,2696
592,1387.0,1275.0,242
593,1387.5,1275.0,491
594,1388.0,1275.5,1080
595,1388.5,1275.5,1951
596,1388.0,1275.0,617
597,1388.5,1275.0,1352
598,1389.0,1275.5,1125
599,1389.5,1275.5,244
600,1389.0,1275.0,2475
601,1389.5,1275.0,32
602,1380.5,1274.5,482
603,1380.0,1274.0,1
604,1380.5,1274.0,84
605,1381.0,1274.5,1771
606,1381.5,1274.5,1768
607,1381.0,1274.0,929
608,1381.5,1274.0,1004
609,1382.0,1274.5,2817
610,1382.5,1274.5,1498
611,1382.0,1274.0,3617
612,1382.5,1274.0,2528
613,1383.0,1274.5,21
614,1383.5,1274.5,487
615,1383.5,1274.0,72
616,1384.0,1274.5,2298
617,1384.5,1274.5,813
618,1384.0,1274.0,2199
619,1384.5,1274.0,585
620,1385.0,1274.5,612
621,1385.5,1274.5,505
622,1385.0,1274.0,856
623,1385.5,1274.0,112
624,1386.0,1274.5,222
625,1386.5,1274.5,423
626,1386.0,1274.0,49
627,1386.5,1274.0,99
628,1387.0,1274.5,554
629,1387.5,1274.5,352
630,1387.0,1274.0,136
631,1387.5,1274.0,9
632,1388.0,1274.5,584
633,1388.5,1274.5,287
634,1388.0,1274.0,90
635,1388.5,1274.0,535
636,1389.0,1274.5,2067
637,1389.5,1274.5,100
638,1389.0,1274.0,1195
639,1389.5,1274.0,33
640,1380.5,1273.5,91
641,1380.5,1273.0,50
642,1381.0,1273.5,4
643,1381.5,1273.5,802
644,1381.0,1273.0,108
645,1381.5,1273.0,748
646,1382.0,1273.5,2005
647,1382.5,1273.5,908
648,1382.0,1273.0,959
649,1382.5,1273.0,1197
650,1383.5,1273.5,5
651,1383.0,1273.0,765
652,1384.0,1273.5,396
653,1384.5,1273.5,2451
654,1384.0,1273.0,782
655,1384.5,1273.0,2307
656,1385.0,1273.5,1688
657,1385.5,1273.5,408
658,1385.0,1273.0,2019
659,1385.5,1273.0,1557
660,1386.0,1273.5,134
661,1386.5,1273.5,15
662,1386.0,1273.0,2150
663,1386.5,1273.0,445
664,1387.0,1273.5,388
665,1387.5,1273.5,108
666,1387.0,1273.0,328
667,1387.5,1273.0,188
668,1388.0,1273.5,222
669,1388.5,1273.5,310
670,1388.0,1273.0,488
671,1388.5,1273.0,196
672,1389.0,1273.5,1478
673,1389.5,1273.5,215
674,1389.0,1273.0,1025
675,1389.5,1273.0,772
676,1381.0,1272.5,15
677,1381.5,1272.5,26
678,1381.5,1272.0,28
679,1382.0,1272.5,90
680,1382.5,1272.5,1320
681,1382.0,1272.0,84
682,1382.5,1272.0,346
683,1383.0,1272.5,938
684,1383.5,1272.5,8
685,1383.0,1272.0,1340
686,1383.5,1272.0,1485
687,1384.0,1272.5,2718
688,1384.5,1272.5,2759
689,1384.0,1272.0,2697
690,1384.5,1272.0,2568
691,1385.0,1272.5,2176
692,1385.5,1272.5,1460
693,1385.0,1272.0,2381
694,1385.5,1272.0,1936
695,1386.0,1272.5,2035
696,1386.5,1272.5,225
697,1386.0,1272.0,729
698,1386.5,1272.0,91
699,1387.0,1272.5,201
700,1387.5,1272.5,87
701,1387.0,1272.0,94
702,1387.5,1272.0,510
703,1388.0,1272.5,493
704,1388.5,1272.5,65
705,1388.0,1272.0,1000
706,1388.5,1272.0,16
707,1389.0,1272.5,78
708,1389.5,1272.5,783
709,1389.0,1272.0,1046
710,1389.5,1272.0,592
711,1381.5,1271.5,12
712,1381.5,1271.0,13
713,1382.0,1271.5,269
714,1382.5,1271.5,184
715,1382.0,1271.0,63
716,1382.5,1271.0,172
717,1383.0,1271.5,904
718,1383.5,1271.5,1149
719,1383.0,1271.0,362
720,1383.5,1271.0,796
721,1384.0,1271.5,2596
722,1384.5,1271.5,1451
723,1384.0,1271.0,2601
724,1384.5,1271.0,445
725,1385.0,1271.5,924
726,1385.5,1271.5,362
727,1385.0,1271.0,409
728,1385.5,1271.0,796
729,1386.0,1271.5,13
730,1386.5,1271.5,19
731,1386.0,1271.0,413
732,1387.0,1271.5,21
733,1387.5,1271.5,809
734,1387.0,1271.0,520
735,1387.5,1271.0,801
736,1388.0,1271.5,419
737,1388.5,1271.5,106
738,1388.0,1271.0,439
739,1388.5,1271.0,399
740,1389.0,1271.5,921
741,1389.5,1271.5,116
742,1389.0,1271.0,689
743,1389.5,1271.0,95
744,1381.0,1270.0,113
745,1381.5,1270.0,20
746,1382.5,1270.5,114
747,1382.0,1270.0,116
748,1382.5,1270.0,474
749,1383.0,1270.5,949
750,1383.5,1270.5,568
751,1383.0,1270.0,41
752,1383.5,1270.0,262
753,1384.0,1270.5,700
754,1384.5,1270.5,82
755,1384.0,1270.0,336
756,1384.5,1270.0,83
757,1385.0,1270.5,93
758,1385.5,1270.5,757
759,1385.0,1270.0,148
760,1385.5,1270.0,448
761,1386.0,1270.5,1297
762,1386.5,1270.5,1292
763,1386.0,1270.0,2484
764,1386.5,1270.0,2513
765,1387.0,1270.5,3753
766,1387.5,1270.5,1982
767,1387.0,1270.0,2395
768,1387.5,1270.0,2745
769,1388.0,1270.5,274
770,1388.5,1270.5,109
771,1388.0,1270.0,242
772,1388.5,1270.0,165
773,1389.0,1270.5,595
774,1389.5,1270.5,666
775,1389.0,1270.0,451
776,1389.5,1270.0,873
777,1390.0,1279.5,2039
778,1390.5,1279.5,3108
779,1390.0,1279.0,1156
780,1390.5,1279.0,2579
781,1391.0,1279.5,3112
782,1391.5,1279.5,3826
783,1391.0,1279.0,2058
784,1391.5,1279.0,2989
785,1392.0,1279.5,398
786,1392.5,1279.5,2377
787,1392.0,1279.0,348
788,1392.5,1279.0,2633
789,1393.0,1279.5,2417
790,1393.5,1279.5,2075
791,1393.0,1279.0,2662
792,1393.5,1279.0,2756
793,1394.0,1279.5,2419
794,1394.5,1279.5,2953
795,1394.0,1279.0,3160
796,1394.5,1279.0,2620
797,1395.0,1279.5,2666
798,1395.5,1279.5,2373
799,1395.0,1279.0,3010
800,1395.5,1279.0,1239
801,1396.0,1279.5,2528
802,1396.5,1279.5,3265
803,1396.0,1279.0,3583
804,1396.5,1279.0,3050
805,1397.0,1279.5,473
806,1397.5,1279.5,1945
807,1397.0,1279.0,191
808,1397.5,1279.0,1374
809,1398.0,1279.5,3100
810,1398.5,1279.5,3003
811,1398.0,1279.0,2447
812,1398.5,1279.0,3778
813,1399.0,1279.5,3924
814,1399.5,1279.5,1978
815,1399.0,1279.0,2084
816,1399.5,1279.0,2855
817,1390.0,1278.5,2642
